,TrackID,TrackName,Popularity,Duration,Explicit,Artists,ArtistsID,ReleaseYear,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,TimeSignature,artists_upd_v1,artists_upd_v2,artists_upd,artists_song,consolidates_genre_lists,popularity_red
232703,6PzHZ2el11aX8u3vMqH73J,I Know,24,322227,0,"['Luther Vandross', 'Stevie Wonder']","['19y5MFBH7gohEdGwKM7QsP', '7guDJrEfX3qb6FEbdPA5qi']",1998,0.586,0.512,8,-6.711,1,0.0322,0.248,1.2e-06,0.161,0.11,163.862,4,"['Luther Vandross', 'Stevie Wonder']",[],"['Luther Vandross', 'Stevie Wonder']",Luther Vandross+I Know,"['urban_contemporary', 'adult_standards', 'soul', 'funk', 'r&b', 'motown', 'new_jack_swing', 'neo_soul', 'quiet_storm']",4
232707,042pmCix7CPth3l3X28jl1,Here and Now,56,323000,0,['Luther Vandross'],['19y5MFBH7gohEdGwKM7QsP'],1989,0.571,0.285,7,-14.453,1,0.027,0.528,0.0,0.0853,0.244,74.967,4,['Luther Vandross'],[],['Luther Vandross'],Luther Vandross+Here and Now,"['urban_contemporary', 'soul', 'funk', 'r&b', 'motown', 'new_jack_swing', 'neo_soul', 'quiet_storm']",11
232708,0oRLDQtzPHzUPhwXGtVX9m,Hello,28,282400,0,['Luther Vandross'],['19y5MFBH7gohEdGwKM7QsP'],1994,0.324,0.271,10,-12.238,0,0.0326,0.748,0.000135,0.202,0.112,112.167,4,['Luther Vandross'],[],['Luther Vandross'],Luther Vandross+Hello,"['urban_contemporary', 'soul', 'funk', 'r&b', 'motown', 'new_jack_swing', 'neo_soul', 'quiet_storm']",5
232713,04pwMsaIQlhwVFst7ttivM,For You to Love,38,337520,0,['Luther Vandross'],['19y5MFBH7gohEdGwKM7QsP'],1988,0.656,0.729,7,-8.577,1,0.0403,0.617,0.00514,0.304,0.841,93.955,4,['Luther Vandross'],[],['Luther Vandross'],Luther Vandross+For You to Love,"['urban_contemporary', 'soul', 'funk', 'r&b', 'motown', 'new_jack_swing', 'neo_soul', 'quiet_storm']",7
232740,3NxSIxMnq9tDmQtoyHQqte,Life Is A Bitch,32,219640,0,['Luther Allison'],['7EynH3keqfKUmauyaeZoxv'],1987,0.594,0.744,6,-10.096,0,0.0304,0.648,0.00305,0.261,0.778,102.344,4,['Luther Allison'],[],['Luther Allison'],Luther Allison+Life Is A Bitch,"['chicago_blues', 'blues_rock', 'blues', 'electric_blues', 'modern_blues']",6
232741,1tmuYkzOTzjnssQXfd5Z9q,Last Night,24,698867,0,['Luther Allison'],['7EynH3keqfKUmauyaeZoxv'],1977,0.593,0.224,9,-16.541,1,0.0318,0.663,0.0784,0.0585,0.281,136.915,3,['Luther Allison'],[],['Luther Allison'],Luther Allison+Last Night,"['chicago_blues', 'blues_rock', 'blues', 'electric_blues', 'modern_blues']",4
232750,1LkoYGxmYpO6QSEvY5C0Zl,Scotty Doesn't Know,72,175200,0,['Lustra'],['3IJ770I1QPmwVp7yug0eJ4'],2006,0.317,0.887,0,-4.525,1,0.0472,0.000449,9.23e-06,0.363,0.544,174.009,4,['Lustra'],[],['Lustra'],Lustra+Scotty Doesn't Know,[],14
232760,5v53hAkdv5VA3458AUCNQl,"Läppar tiger, ögon talar",19,184587,0,['Lustans Lakejer'],['3oB3e3MPyQBX5NttDmNUNN'],1982,0.74,0.856,9,-4.963,0,0.0436,0.0729,0.0,0.114,0.901,134.876,4,['Lustans Lakejer'],[],['Lustans Lakejer'],"Lustans Lakejer+Läppar tiger, ögon talar","['classic_swedish_pop', 'swedish_post-punk']",3
232764,3eTi07538vLOjDbFKbW7gU,Diamanter är en flickas bästa vän - 1982 Single Version,33,215840,0,['Lustans Lakejer'],['3oB3e3MPyQBX5NttDmNUNN'],1982,0.675,0.843,11,-4.1,0,0.0305,0.00178,0.0576,0.086,0.932,137.944,4,['Lustans Lakejer'],[],['Lustans Lakejer'],Lustans Lakejer+Diamanter är en flickas bästa vän - 1982 Single Version,"['classic_swedish_pop', 'swedish_post-punk']",6
232766,1yzbYbyWp3ikdlWRPLqpeR,Begärets dunkla mål,14,233573,0,['Lustans Lakejer'],['3oB3e3MPyQBX5NttDmNUNN'],1981,0.535,0.617,9,-4.08,1,0.0513,0.00183,0.000272,0.0346,0.86,138.255,4,['Lustans Lakejer'],[],['Lustans Lakejer'],Lustans Lakejer+Begärets dunkla mål,"['classic_swedish_pop', 'swedish_post-punk']",2
